R_ID,Resource,region,Existing_Cap_MW,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Start_cost_per_MW,Shut_cost_per_MW,Up_time,Down_time,cluster
1,ap1000,WEC_SDGE,1000,4.55,uranium,10.44,0.5,0.25,0.25,107.86,107.86,1,1,1
2,hydroelectric_pumped_storage,WEC_SDGE,100,0,None,0,0,0,0,0,0,0,0,1
3,ap100,WEC_SDGE,100,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,1
4,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,1
5,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,3
6,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,1
7,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,2
8,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,3
9,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,4
10,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,5
11,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,6
12,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,7
13,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,8
14,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,9
15,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,10
16,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,11
17,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,12
18,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,13
19,ap300,WEC_SDGE,300,4.55,uranium,10.34,0.2,0.25,0.25,107.86,107.86,1,1,14
20,onshore_wind_turbine,WEC_SDGE,1350,0,None,0,0,1,1,0,0,0,0,1
22,solar_photovoltaic,WEC_SDGE,1350,0,None,0,0,1,1,0,0,0,0,1